textID,text,selected_text,sentiment
new_e050245fbd_1,Both you of,Both you of,neutral
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),Wow... u just became cooler.,positive
new_fc2cbefa9d_0,Journey Wow... u just turn cooler. hehe (is that potential,Wow... u just turn cooler.,positive
new_fc2cbefa9d_1,Journey!? Wow u just suit cooler. hehe... (is that possible!?),Wow u just suit cooler.,positive
new_fc2cbefa9d_2,Wow... u just became cooler. Journey!? hehe... (is that possible!?),Wow... u just became cooler.,positive
new_fc2cbefa9d_3,Journey Wow... just u turn cooler. hehe (is that potential,Wow... just u turn cooler.,positive
new_fc2cbefa9d_4,Journey!? Wow u just cooler. suit hehe... (is that possible!?),Wow u just cooler. suit,positive
2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral
new_2339a9b08b_0,"as much as i love to be hopeful, i reckon the chances are minimum =P im never gonna flummox my coat and stuff","as much as i love to be hopeful, i reckon the chances are minimum =P im never gonna flummox my coat and stuff",neutral
new_2339a9b08b_1,"as lots as i dear to be hopeful, i reckon the chances are minimal =P im never gonna baffle my coat and scarf out","as lots as i dear to be hopeful, i reckon the chances are minimal =P im never gonna baffle my coat and scarf out",neutral
new_2339a9b08b_2,"as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral
16fab9f95b,I really really like the song Love Story by Taylor Swift,like,positive
new_16fab9f95b_0,I rattling really corresponding the birdsong bed Story by Taylor Swift,corresponding,positive
new_16fab9f95b_1,I real really corresponding the song do it report by Taylor sceloporus occidentalis,corresponding,positive
new_16fab9f95b_2,I rattling really corresponding the bed birdsong Story by Taylor Swift,corresponding,positive
new_16fab9f95b_3,I real really corresponding the song do it report Taylor by sceloporus occidentalis,corresponding,positive
74a76f6e0a,My Sharpie is running DANGERously low on ink,DANGERously,negative
new_74a76f6e0a_0,My cardsharper is running dangerously scurvy on ink,dangerously,negative
new_74a76f6e0a_1,My cardsharp is running dangerously sir david alexander cecil low on ink,dangerously,negative
new_74a76f6e0a_2,My Sharpie is running DANGERously low ink on,DANGERously,negative
new_74a76f6e0a_3,My cardsharper is running dangerously on scurvy ink,dangerously,negative
new_74a76f6e0a_4,cardsharp My is running dangerously sir david alexander cecil low on ink,dangerously,negative
04dd1d2e34,i want to go to music tonight but i lost my voice.,lost,negative
new_04dd1d2e34_0,i neediness to adam to music tonight but i lost my vocalization,lost,negative
new_04dd1d2e34_1,i want to lead to medicine this evening but i lost my vocalization,lost,negative
new_04dd1d2e34_2,i want go to to music tonight but i lost my voice.,lost,negative
new_04dd1d2e34_3,i neediness adam to to music tonight but i lost my vocalization,lost,negative
new_04dd1d2e34_4,i want to lead to medicine this evening but lost i my vocalization,lost,negative
bbe3cbf620,test test from the LG enV2,test test from the LG enV2,neutral
new_bbe3cbf620_0,test examination from the LG enV2,test examination from the LG enV2,neutral
new_bbe3cbf620_1,test from test the LG enV2,test from test the LG enV2,neutral
8a939bfb59,"Uh oh, I am sunburned","Uh oh, I am sunburned",negative
new_8a939bfb59_0,Uh oh I am sunburned,Uh oh I am sunburned,negative
new_8a939bfb59_1,"Uh oh, am I sunburned","Uh oh, am I sunburned",negative
3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",*sigh*,negative
new_3440297f8b_0,Sok trying to plot of land alternatives as we speak *sigh*,*sigh*,negative
new_3440297f8b_1,Sok essay to plot alternatives as we utter suspiration,suspiration,negative
new_3440297f8b_2,"S`ok, to trying plot alternatives as we speak *sigh*",*sigh*,negative
new_3440297f8b_3,Sok trying to plot of land alternatives as speak we *sigh*,*sigh*,negative
new_3440297f8b_4,Sok essay plot to alternatives as we utter suspiration,suspiration,negative
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",sick,negative
new_919fa93391_0,"i`ve been sick of for the past times few days and thus, my hair appear wierd if i didnt have a chapeau on it would flavor httptinyurlcommnf4kw",sick of,negative
new_919fa93391_1,i`ve been pallid for the by few days and hence my haircloth looks wierd. if i didnt have a lid on it would look... http://tinyurl.com/mnf4kw,pallid,negative
new_919fa93391_2,"i`ve been sick for the past days few and thus, my hair looks wierd. if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",sick,negative
new_919fa93391_3,"i`ve been sick of for the past times few days and thus, hair my appear wierd if i didnt have a chapeau on it would flavor httptinyurlcommnf4kw",sick of,negative
new_919fa93391_4,i`ve pallid been for the by few days and hence my haircloth looks wierd. if i didnt have a lid on it would look... http://tinyurl.com/mnf4kw,pallid,negative
af3fed7fc3,is back home now      gonna miss every one,onna,negative
new_af3fed7fc3_0,is back home now  onna missy every unitary,onna,negative
new_af3fed7fc3_1,is backwards household now thou onna miss every unmatchable,onna,negative
new_af3fed7fc3_2,is home back now g onna miss every one,onna,negative
new_af3fed7fc3_3,is back home now onna every missy unitary,onna,negative
new_af3fed7fc3_4,is backwards household thou now onna miss every unmatchable,onna,negative
40e7becabf,Hes just not that into you,Hes just not that into you,neutral
new_40e7becabf_0,helium just not that into you,helium just not that into you,neutral
new_40e7becabf_1,Hes just not into that you,Hes just not into that you,neutral
04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3","oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral
new_04d17ef61e_0,buckeye state Marly I`m so pitiful I hope you find out her soon threesome troika,buckeye state Marly I`m so pitiful I hope you find out her soon threesome troika,neutral
new_04d17ef61e_1,oh Marly I`m so sorry!! I desire you get her presently <3 tierce,oh Marly I`m so sorry!! I desire you get her presently <3 tierce,neutral
new_04d17ef61e_2," oh Marly, I`m so sorry!! I hope find you her soon!! <3 <3","oh Marly, I`m so sorry!! I hope find you her soon!! <3 <3",neutral
new_04d17ef61e_3,state buckeye Marly I`m so pitiful I hope you find out her soon threesome troika,state buckeye Marly I`m so pitiful I hope you find out her soon threesome troika,neutral
new_04d17ef61e_4,oh Marly I`m so sorry!! I desire get you her presently <3 tierce,oh Marly I`m so sorry!! I desire get you her presently <3 tierce,neutral
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,interesting.,positive
new_e48b0b8a23_0,work Ghost on line is very matter to The new update are Kirin pet and Metamorph for rd line Can`t wait to have a dragon favourite,matter to,positive
new_e48b0b8a23_1,Playing obsess online is truly interest The novel updates are Kirin pet and Metamorph for one third problem camber wait to have a draco pet,interest,positive
new_e48b0b8a23_2,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job. Can`t wait to a have dragon pet,interesting.,positive
new_e48b0b8a23_3,work Ghost on line is very matter to The new update are Kirin pet Metamorph and for rd line Can`t wait to have a dragon favourite,matter to,positive
new_e48b0b8a23_4,Playing obsess online is truly The interest novel updates are Kirin pet and Metamorph for one third problem camber wait to have a draco pet,interest,positive
7de057cf40,is cleaning the house for her family who is comming later today..,is cleaning the house for her family who is comming later today..,neutral
new_7de057cf40_0,is cleaning the house for her family unit who is comming belated now,is cleaning the house for her family unit who is comming belated now,neutral
new_7de057cf40_1,is cleaning the house for her family line who is comming later today..,is cleaning the house for her family line who is comming later today..,neutral
new_7de057cf40_2,is cleaning the house for family her who is comming later today..,is cleaning the house for family her who is comming later today..,neutral
new_7de057cf40_3,is cleaning the for house her family unit who is comming belated now,is cleaning the for house her family unit who is comming belated now,neutral
new_7de057cf40_4,is cleaning house the for her family line who is comming later today..,is cleaning house the for her family line who is comming later today..,neutral
9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral
new_9ce5570064_0,gotta restart my information processing system .. I thought Win7 was supposed to put an oddment to the constant rebootiness,gotta restart my information processing system .. I thought Win7 was supposed to put an oddment to the constant rebootiness,neutral
new_9ce5570064_1,gotta resume my reckoner  I thought Win7 was opine to place an stop to the constant rebootiness,gotta resume my reckoner  I thought Win7 was opine to place an stop to the constant rebootiness,neutral
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral
new_0c8cc71c46_0,find waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs fri smH,find waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs fri smH,neutral
new_0c8cc71c46_1,assure waT I miserly bOuT FoLL0w fRiiDaYs ItS address LoSe f0LloWeRs FridAy smH,assure waT I miserly bOuT FoLL0w fRiiDaYs ItS address LoSe f0LloWeRs FridAy smH,neutral
new_0c8cc71c46_2,SEe waT I Mean bOuT fRiiDaYs... FoLL0w It`S cALLed LoSe f0LloWeRs FridAy... smH,SEe waT I Mean bOuT fRiiDaYs... FoLL0w It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted",positive
new_e00c6ef376_0,the free fillin app on my ipod is sport im addict,the free fillin app on my ipod is sport im addict,positive
new_e00c6ef376_1,the resign fillin app on my ipod is fun im addict,the resign fillin app on my ipod is fun im addict,positive
new_e00c6ef376_2,the free fillin app my on ipod is sport im addict,the free fillin app my on ipod is sport im addict,positive
852edc3769,  I`m sorry.,I`m sorry.,negative
new_852edc3769_0,I`m disconsolate,I`m disconsolate,negative
new_852edc3769_1,I`m no count,I`m no count,negative
new_852edc3769_2,I`m sorry.,I`m sorry.,negative
bdc32ea43c,On the way to Malaysia...no internet access to Twit,.no internet,negative
new_bdc32ea43c_0,On the way to Malaysia.. no net access to twerp,no net,negative
new_bdc32ea43c_1,On the way to Malaysia.. .no internet entree to Twit,.no internet,negative
new_bdc32ea43c_2,On the way to Malaysia.. access .no internet to Twit,.no internet,negative
new_bdc32ea43c_3,On way the to Malaysia.. no net access to twerp,no net,negative
new_bdc32ea43c_4,On the way to Malaysia.. internet .no entree to Twit,internet .no,negative
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,fun,positive
new_6ce4a4954b_0,juss amount backk from Berkeleyy  omg its madd merriment out there havent been out there in a minute . whassqoodd ?,merriment,positive
new_6ce4a4954b_1,juss occur backk from Berkeleyy ; omg its madd merriment out there havent been out there in a infinitesimal  whassqoodd ,merriment,positive
new_6ce4a4954b_2,juss backk came from Berkeleyy ; omg its madd fun out there havent been out there in a minute . whassqoodd ?,fun,positive
new_6ce4a4954b_3,juss amount backk from Berkeleyy omg its merriment madd out there havent been out there in a minute . whassqoodd ?,merriment,positive
new_6ce4a4954b_4,juss occur from backk Berkeleyy ; omg its madd merriment out there havent been out there in a infinitesimal whassqoodd,merriment,positive
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,Power back up not working too,negative
new_d22e6d40a7_0,Went to sleep and there is a power cut in Noida Power back up not working too,Power back up not working too,negative
new_d22e6d40a7_1,pass to sopor and there is a office turn out in Noida major power backwards up not working too,major power backwards up not working too,negative
new_d22e6d40a7_2,Went to sleep and there is a power cut in Noida  Power up back not working too,Power up back not working too,negative
new_d22e6d40a7_3,Went to and sleep there is a power cut in Noida Power back up not working too,Power back up not working too,negative
new_d22e6d40a7_4,pass to sopor and there is a office turn in out Noida major power backwards up not working too,major power backwards up not working too,negative
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Quite....heavenly,positive
new_d33f811375_0,I`m going home now Have you run across my young chitter design? Quiteheavenly isn`****?,Quiteheavenly,positive
new_d33f811375_1,Im pass base now. Have you seen my new twitter design? Quiteheavenly isn`****?,Quiteheavenly,positive
new_d33f811375_2,I`m going home now. Have you seen my new twitter Quite....heavenly design? isn`****?,Quite....heavenly,positive
new_d33f811375_3,I`m going home now Have you run across my young design? chitter Quiteheavenly isn`****?,Quiteheavenly,positive
new_d33f811375_4,Im pass base Have now. you seen my new twitter design? Quiteheavenly isn`****?,Quiteheavenly,positive
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,hope,positive
new_7d8c4c11e4_0,i hope unni will make the auditory modality . fighting dahye unni ,hope,positive
new_7d8c4c11e4_1,i hope unni will stool the sense of hearing . fighting dahye unni ,hope,positive
new_7d8c4c11e4_2,i hope unni will make the audition . fighting dahye ! unni,hope,positive
new_7d8c4c11e4_3,i hope unni will make the auditory modality fighting . dahye unni,hope,positive
new_7d8c4c11e4_4,i hope unni will stool the sense of hearing . dahye fighting unni,hope,positive
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative
new_1c31703aef_0,If it is any consolation I got my body mass index tried hahaha it enounce I am obesed intimately so lots for being dysphoric for about 10 minute s,intimately so lots for being dysphoric for about 10 minute,negative
new_1c31703aef_1,If it is any consolation I pose my BMI screen hahaha it says I am obesed advantageously so a lot for being unhappy for about 10 minute s,advantageously so a lot for being unhappy for about 10 minute,negative
new_1c31703aef_2, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much being for unhappy for about 10 minutes.,well so much being for unhappy for about 10 minute,negative
new_1c31703aef_3,If it is any consolation I got my body mass index tried hahaha it enounce I am obesed so intimately lots for being dysphoric for about 10 minute s,so intimately lots for being dysphoric for about 10 minute,negative
new_1c31703aef_4,it If is any consolation I pose my BMI screen hahaha it says I am obesed advantageously so a lot for being unhappy for about 10 minute s,advantageously so a lot for being unhappy for about 10 minute,negative
2dc51711bc, That`s very funny.  Cute kids.,funny.,positive
new_2dc51711bc_0,Thats very funny. Cute kids.,funny.,positive
new_2dc51711bc_1,That`s funny. very Cute kids.,funny.,positive
new_2dc51711bc_2,Thats funny. very Cute kids.,funny.,positive
new_2dc51711bc_3,Thats very funny. kids. Cute,funny.,positive
d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.","Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
new_d21ab5855b_0,"Ahhh, I kip through the game. Im gonna try my best to watch tomorrow though. I leslie townes hope we play army","Ahhh, I kip through the game. Im gonna try my best to watch tomorrow though. I leslie townes hope we play army",neutral
new_d21ab5855b_1,Ahhh I slept through the spunky Im gonna try my best to look on tomorrow though. I hope we play Army.,Ahhh I slept through the spunky Im gonna try my best to look on tomorrow though. I hope we play Army.,neutral
new_d21ab5855b_2," Ahhh, I slept through the game. I`m gonna try my best to watch tomorrow though. I hope play we Army.","Ahhh, I slept through the game. I`m gonna try my best to watch tomorrow though. I hope play we Army.",neutral
new_d21ab5855b_3,Ahhh I slept through the Im spunky gonna try my best to look on tomorrow though. I hope we play Army.,Ahhh I slept through the Im spunky gonna try my best to look on tomorrow though. I hope we play Army.,neutral
4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4","Thats it, its the end. Tears for Fears",neutral
new_4f5267ad70_0,"Thats it, its the end shoot for Fears vs Eric Prydz DJ hoagie httpbitly2Hpbg4","Thats it, its the end shoot for Fears",neutral
new_4f5267ad70_1,Thats it its the end. Tears for reverence vs Eric Prydz disc jockey hero sandwich http://bit.ly/2Hpbg4,Thats it its the end. Tears for reverence,neutral
new_4f5267ad70_2,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ http://bit.ly/2Hpbg4 Hero","Thats it, its the end. Tears for Fears",neutral
new_4f5267ad70_3,"vs Thats it, its the end shoot for Fears Eric Prydz DJ hoagie httpbitly2Hpbg4","Thats it, its the end shoot for Fears",neutral
new_4f5267ad70_4,Thats its it the end. Tears for reverence vs Eric Prydz disc jockey hero sandwich http://bit.ly/2Hpbg4,Thats its it the end. Tears for reverence,neutral
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,miss,negative
new_2724775d6b_0,Born and raised in NYC and living in tx for the past times tenner years! I still lack new york,lack,negative
new_2724775d6b_1,Born and conjure up in NYC and living in texas for the past decade years I still misfire NY,misfire,negative
new_2724775d6b_2,and Born raised in NYC and living in Texas for the past 10 years! I still miss NY,miss,negative
new_2724775d6b_3,Born and raised in NYC and living in tx for the past times tenner years! still I lack new york,lack,negative
new_2724775d6b_4,Born and conjure up in NYC and living in texas for the past decade years I misfire still NY,misfire,negative
1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned","just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral
new_1cbc812ece_0,just in instance you question we are truly busybodied today and this coming with with add up dozens of new web log and updates stay tune,just in instance you question we are truly busybodied today and this coming with with add up dozens of new web log and updates stay tune,neutral
new_1cbc812ece_1,just in case you admiration we are genuinely busy today and this get along with with adding short ton of new blog and updates halt tuned,just in case you admiration we are genuinely busy today and this get along with with adding short ton of new blog and updates halt tuned,neutral
new_1cbc812ece_2,"just in case you wonder, we are really busy today and this coming with with adding tons new of blogs and updates stay tuned","just in case you wonder, we are really busy today and this coming with with adding tons new of blogs and updates stay tuned",neutral
new_1cbc812ece_3,just in case admiration you we are genuinely busy today and this get along with with adding short ton of new blog and updates halt tuned,just in case admiration you we are genuinely busy today and this get along with with adding short ton of new blog and updates halt tuned,neutral
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,negative
new_4b61dffbeb_0,i`m soooooo sleeeeepy the last clarence shepard day jr o` schooltime was todaysniffle,soooooo sleeeeepy,negative
new_4b61dffbeb_1,im soooooo sleeeeepy!!! the last daylight o school was today....sniffle....,soooooo sleeeeepy!!!,negative
new_4b61dffbeb_2,i`m soooooo sleeeeepy!!! the day last o` school was today....sniffle....,soooooo sleeeeepy!!!,negative
new_4b61dffbeb_3,i`m soooooo sleeeeepy the last clarence shepard day jr o` schooltime todaysniffle was,soooooo sleeeeepy,negative
new_4b61dffbeb_4,soooooo sleeeeepy!!! im the last daylight o school was today....sniffle....,soooooo sleeeeepy!!!,negative
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",A little happy fo,positive
new_2863f435bd_0,"A small well chosen fo r the wine jeje ok it`sm my liberate prison term so who cares, jaja i enjoy this twenty four hours",A small well chosen fo,positive
new_2863f435bd_1,A little glad field grade officer universal gas constant the wine jeje okay itsm my free time so who charge jaja i love this day,A little glad field grade officer,positive
new_2863f435bd_2,"A happy little for the wine jeje ok it`sm my free time so who cares, jaja i love this day",A happy little fo,positive
new_2863f435bd_3,"A small well chosen fo r the wine jeje ok it`sm my liberate prison term so who cares, jaja i enjoy this four twenty hours",A small well chosen fo,positive
new_2863f435bd_4,universal A little glad field grade officer gas constant the wine jeje okay itsm my free time so who charge jaja i love this day,A little glad field grade officer,positive
d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting","Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral
new_d93afa85cf_0,"cable car not happy, big large dent in boot hop theyre not plump to write it off hybridisation fingers and ready and waiting","cable car not happy, big large dent in boot hop theyre not plump to write it off hybridisation fingers and ready and waiting",neutral
new_d93afa85cf_1,"Car not happy, great big indent in boot! Hoping theyre not exit to pen it off scotch digit and look","Car not happy, great big indent in boot! Hoping theyre not exit to pen it off scotch digit and look",neutral
new_d93afa85cf_2," Car not happy, big dent big in boot! Hoping theyre not going to write it off, crossing fingers and waiting","Car not happy, big dent big in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral
new_d93afa85cf_3,"not Car happy, great big indent in boot! Hoping theyre not exit to pen it off scotch digit and look","not Car happy, great big indent in boot! Hoping theyre not exit to pen it off scotch digit and look",neutral
fab6b7d16c,im an avid fan of **** magazine and i love your magazines,avid fan of,positive
new_fab6b7d16c_0,im an zealous fan of  cartridge holder and i love your cartridge holder,zealous fan of,positive
new_fab6b7d16c_1,im an devouring fan of **** mag and i love your magazines,devouring fan of,positive
new_fab6b7d16c_2,im an avid of fan **** magazine and i love your magazines,avid of fan,positive
new_fab6b7d16c_3,im zealous fan of an cartridge holder and i love your cartridge holder,zealous fan of,positive
new_fab6b7d16c_4,im an devouring of fan **** mag and i love your magazines,devouring of fan,positive
2e7082d1c8,MAYDAY?!,MAYDAY?!,neutral
new_2e7082d1c8_0,MAYDAY,MAYDAY,neutral
684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral
new_684081e4e7_0,"RATT shake NASHVILLE TONITE..ONE matter SUCKED, NO ENCORE! the like IN THE  THEY tranquilize HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY reckon","RATT shake NASHVILLE TONITE..ONE matter SUCKED, NO ENCORE! the like IN THE  THEY tranquilize HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY reckon",neutral
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,I love to!,positive
new_c77717b103_0,I enjoy to! But I`m only available from 5pm and where pricey Would love to help convert her vids.ï¿½,I enjoy to!,positive
new_c77717b103_1,I know to But I`m only available from 5pm and where earnest Would eff to help win over her vids.ï¿½,I know to,positive
new_c77717b103_2,I love to! But I`m only available 5pm. from and where dear? Would love to help convert her vids.ï¿½,I love to!,positive
new_c77717b103_3,enjoy I to! But I`m only available from 5pm and where pricey Would love to help convert her vids.ï¿½,enjoy I to!,positive
new_c77717b103_4,I to know But I`m only available from 5pm and where earnest Would eff to help win over her vids.ï¿½,I to know,positive
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
new_a9d499e123_0,The girl in the hairsbreadth beauty shop call for me Shall I trim your eyebrows!' How former do I palpate,The girl in the hairsbreadth beauty shop call for me Shall I trim your eyebrows!' How former do I palpate,neutral
new_a9d499e123_1,The young lady in the hair beauty parlour call for me 'Shall I trim your eyebrows!' How old do I feel?,The young lady in the hair beauty parlour call for me 'Shall I trim your eyebrows!' How old do I feel?,neutral
new_a9d499e123_2,The girl in the hair salon asked me 'Shall trim I your eyebrows!' How old do I feel?,The girl in the hair salon asked me 'Shall trim I your eyebrows!' How old do I feel?,neutral
new_a9d499e123_3,The girl in the hairsbreadth beauty shop call for me Shall trim I your eyebrows!' How former do I palpate,The girl in the hairsbreadth beauty shop call for me Shall trim I your eyebrows!' How former do I palpate,neutral
new_a9d499e123_4,The young lady in the hair beauty call parlour for me 'Shall I trim your eyebrows!' How old do I feel?,The young lady in the hair beauty call parlour for me 'Shall I trim your eyebrows!' How old do I feel?,neutral
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,SUCKKKKKK,negative
new_ddf296dffa_0,egh bombast and boooooooooooo i dunno wanna go to work katzenjammer SUCKKKKKK Im a drunk mess!,SUCKKKKKK,negative
new_ddf296dffa_1,egh blah and boooooooooooo i dunno wanna go to process holdover SUCKKKKKK Im a tope quite a little,SUCKKKKKK,negative
new_ddf296dffa_2,egh blah and boooooooooooo i wanna dunno go to work HANGOVERS SUCKKKKKK Im a drunk mess!,SUCKKKKKK,negative
new_ddf296dffa_3,egh bombast and boooooooooooo i dunno wanna go to work katzenjammer SUCKKKKKK a Im drunk mess!,SUCKKKKKK,negative
new_ddf296dffa_4,egh blah boooooooooooo and i dunno wanna go to process holdover SUCKKKKKK Im a tope quite a little,SUCKKKKKK,negative
