textID,sentiment,author,text,old_text,aux_id,new_sentiment,selected_text
1956976312,sadness,amy__xx,_radio yeah :S i feel all funny cause i haven`t slept enough  i woke my mum up cause i was singing she`s not impressed :S you?,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,66561d0e29,negative,i was singing she`s not impressed
1956976371,worry,babyxj,I need skott right now,I need skott right now,c0341849e4,neutral,I need skott right now
1956976557,neutral,JanBenn,has work this afternoon,has work this afternoon,76a83e6c56,neutral,has work this afternoon
1956976681,neutral,HarryHarley, Aw you would not unfollow me would you? Then I would cry,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,p1000000006,,
1956977084,happiness,ktierson,mmm much better day... so far! it`s still quite early. last day of #uds,mmm much better day... so far! it's still quite early. last day of #uds,f10e631e2d,positive,much better day..
1956977187,fun,diNGUYEN31, <3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,3aa450d12d,positive,
1956977618,worry,MDD113,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,1ff39823d0,negative,Both she and it are crushed!
1956977624,worry,alexsnaps,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I`m missing something...,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,p1000000007,,
1956978276,empty,Aggie9, middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,p1000000008,,
1956978410,worry,TannerMade,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don`t feel very well right now","Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",f54efff9bf,negative,i don`t feel very well right now
1956978668,worry,bryancheung," Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also","@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",09162e0abc,positive,s hoping
1956979150,sadness,rionne,I`m having a problem with my photo here in twitter amf!!!...can`t see my face!,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,1bc185153f,negative,I`m having a problem
1956979437,neutral,shenamygans,", oh noooo!  if i blow a tire you`re reaaaally going to have to send up some batman smoke.","@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",1f6b45f551,neutral,", oh noooo!  if i blow a tire you`re reaaaally going to have to send up some batman smoke."
1956979756,neutral,ryarellano,wnna take a bath!!!!,wnna take a bath!!!!,3eb177fced,neutral,wnna take a bath!!!!
1956979894,neutral,lookitsholly,Chocolate milk is so much better through a straw. I lack said straw,Chocolate milk is so much better through a straw. I lack said straw,323aad8e73,positive,Chocolate milk is so much better through a straw.
1956979900,worry,a_schmel,why am i so tired?,why am i so tired?,00886f0ea5,negative,tired?
1956979917,empty,Dreness023, hey yu lil **** i textd yu,@djmicdamn hey yu lil fucker i textd yu,p1000000009,,
1956980788,neutral,nathaliep," time diff and i`ve just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs","@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",6f0d264409,neutral,"time diff and i`ve just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
1956980883,neutral,hollywoods500,  no way! **** that sucks B!  are you ok?,@benballer  no way! damn that sucks B!  are you ok?,dd22639f70,negative,no way! **** that sucks B!  are you ok
1956980972,worry,syl3nt,sucks not being able to take days off of work or have the money to take the trip  so sad,sucks not being able to take days off of work or have the money to take the trip  so sad,084b9f9c8b,negative,sucks
1956981427,enthusiasm,Caillie,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to","bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",2ec6fdf18a,positive,"good,"
1956981850,neutral,robuttley, the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we`ll cope,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,p1000000010,,
1956982075,neutral,minamic, But I got dibs on Sulu...,@lostluna But I got dibs on Sulu...,9d7a1f4faf,neutral,But I got dibs on Sulu...
1956982383,sadness,Ameeee," Aww  Onward and upwards now, yay! Still sad to leave I bet.","@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",p1000000011,,
1956982449,worry,DawnofOURnight, at once haha.  poor aby still gets sore!,@itsgabbith at once haha.  poor aby still gets sore!,a0148c421b,negative,poor
1956982576,sadness,kShadhavar,diesel yaris... 70mpg  so sad its not available in the US. That`d be awesome.,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,74d16e4796,neutral,diesel yaris... 70mpg  so sad its not available in the US. That`d be awesome.
1956982605,sadness,Diyeni,I want to buy this great album but unfortunately i dont hav enuff funds  its 'long time noisy',I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,828697505b,negative,unfortunately
1956983160,sadness,crittyjoy,  in all honesty...pain   blech.,@Pokinatcha  in all honesty...pain   blech.,edf9ec7197,neutral,in all honesty...pain   blech
1956983171,sadness,paulyum,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,e8770f1c78,negative,then you cry ...
1956983467,neutral,njc87,At home alone with not much to do,At home alone with not much to do,21891105a4,neutral,At home alone with not much to do
1956983509,worry,heyitsmisti, ia so much! i haven`t really been happy with any of cooks choices for singles.,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,9e7ce81888,negative,i haven`t really been happy
1956983690,sadness,Trishalove,   i fell asleep on the beach and didn`t put on enough sunscreen  lol,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,3f6bcd840e,neutral,i fell asleep on the beach and didn`t put on enough sunscreen
1956983851,worry,sweetkisses277,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,8004cc952f,neutral,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
1956983874,happiness,joia,"So great to see Oin & Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.","So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",p1000000012,,
1956983931,neutral,MunkyMunch,I cant give  any bday nudges.,I cant give @jertronic any bday nudges.,p1000000013,,
1956984185,worry,HarryLyme,...and all woman who transfer their first impressions (sexual/maternal) onto a less `threatening` man -- are themselves as weak as `Him`,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',5d7af585d3,negative,weak
1956984205,neutral,chicabajoelsol,Brothers Bloom won`t be opening this weekend in El Paso.  I`ll just buy Brick and enjoy that until I can watch Brothers Bloom.,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,e4d45896f3,positive,enjoy
1956984559,neutral,Marielii,says I miss plurking.  http://plurk.com/p/wxion,says I miss plurking.  http://plurk.com/p/wxion,27c6efe67a,negative,miss
1956984864,worry,Amantou,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water","Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",6dec4772e7,negative,"Never wash my cats at home again, they hate water"
1956984894,neutral,Chai_Bo,I miss Voobys!,I miss Voobys!,p1000000014,,
1956985129,neutral,Cookphotos,_Monk Neither are ELP!!,@Dancing_Monk Neither are ELP!!,7f8ceb5336,neutral,_Monk Neither are ELP!!
1956985535,happiness,quarrygirl,"  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?","@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",p1000000015,,
1956985612,worry,juliehuang,is sad that shin ae got married...and it wasn`t to alex,is sad that shin ae got married...and it wasn't to alex,6531e60a4b,negative,is sad th
1956985758,worry,jazz_angela," Sure you will tweet about this when you`re back, but news is abuzz about TR Knight`s leaving 'confirmed' today.  Muy triste.","@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",f066d9b97e,negative,Muy triste
1956985764,sadness,Samm_xo, ohh thursday i have exams.. all day  what about wednesday ?,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,p1000000016,,
1956985973,neutral,ssabz,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,7c4d129387,neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
1956986211,sadness,metaphysical1,"  i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.","@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",0382b0a358,neutral,
1956986359,worry,bittenbyte,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..","goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",p1000000017,,
1956986767,sadness,AshLaws, I love those `it`sakey` USB sticks. We only have the 4GB in Australia,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,p1000000018,,
1956987381,worry,supkeke,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,bcd744d024,neutral,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
1956987600,hate,naterkane,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can`t watch and code,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,d76baf7844,negative,dammit! hu
1956987828,worry,palomalopes24, i am jealous of your mom talking to . i want to see you all our twittering is making me miss you,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,4d84400b4b,negative,i want to see you all our twittering is making me miss you
1956987904,worry,creativevixen86,I can`t sleep...I keep thinking about the puppy I played with today,I can't sleep...I keep thinking about the puppy I played with today,631efce27e,neutral,I can`t sleep...I keep thinking about the puppy I played with today
1956987950,worry,smiles4dayyz,.. I`m suppposed to be sleep. But i got some much to do. & i got that one part of the song stuck in my head 'your a jerk (iknow)'  blaahh,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,p1000000019,,
1956988145,neutral,padfootly, what`s going on sweetheart?,@lepetitagneau what's going on sweetheart?,ee9d0cab1f,positive,what`s going on sweetheart?
1956988218,neutral,callatya,"How can it be so freaking difficult to get a system-wide spellchecker? ****, I`d settle for an office suite one. Stupid unhelpful Windows","How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",a04a9fc4b0,negative,freaking difficult
1956988223,worry,kabilan,"Last one month due to summer, strawberry is not availble in the Chennai markets!","Last one month due to summer, strawberry is not availble in the Chennai markets!",cd8a3ce7dc,negative,strawberry is not availble in the
1956988477,neutral,enlightenthem, work at 6am. Gotta go to bed soon,@willxxmobb work at 6am. Gotta go to bed soon,91137283e8,neutral,work at 6am. Gotta go to bed soon
1956989093,love,Angela_Grace, correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,df62bc7a7a,positive,ADORE
1956989514,sadness,yellowduckx, hiii im on my ipod...i cant fall asleep,@sweeetnspicy hiii im on my ipod...i cant fall asleep,f80acffa84,neutral,hiii im on my ipod...i cant fall asleep
1956989526,sadness,KaKuBby,dont wanna work 11-830 tomorrow  but i get paid,dont wanna work 11-830 tomorrow  but i get paid,p1000000020,,
1956989560,sadness,benchidol,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,5c49c70c70,negative,sad
1956989561,neutral,outrAjusCharmer,PrinceCharming,PrinceCharming,0d015a8c77,neutral,PrinceCharming
1956989601,hate,M0anique,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher`s life in the summer SUCKS,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,936f854d95,negative,SUCKS
1956989914,worry,Fowl2,First ever dropped call on my mobile. On a call to  no less! ( being charged for data even though I have a data pack  ),First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),1414efeca4,negative,charged
1956990288,hate,MissPassion, You win ... SIGH Rakeem,@mrgenius23 You win ... SIGH Rakeem,d5ebd5f984,positive,win
1956990413,neutral,Wendywitwoo,Oh is that time for real?,Oh is that time for real?,55cec41587,neutral,
1956990568,sadness,sarah_walter,Darn these allergies! I don`t like this time of year because of this! I never used to have this problem either,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,p1000000021,,
1956990729,worry,marpizza,Oh no one minute too late! Oh well,Oh no one minute too late! Oh well,cd42a29bff,neutral,Oh no one minute too late! Oh well
1956991009,hate,rdyfrde,"_star ****, that sucks","@soviet_star Damn, that sucks",p1000000022,,
1956991673,sadness,M0anique, i wanted to come to BZ this summer :/ not so sure anymore... a teacher`s life in the summer SUCKS,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,p1000000023,,
1956991704,hate,Tweetyangie, THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,5af1620dfb,negative,THIS WEBSITE GAVE ME A VIRUS!
1956991723,worry,briwyatt,ahh! big scary bug flying around my room!!!!!,ahh! big scary bug flying around my room!!!!!,a37b6c27a2,negative,
1956992030,sadness,mafiaman8108,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!","I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",47dae4cfaf,positive,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
1956992144,worry,Margotkay,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,8880c0e766,negative,is up with a nasty cough i cant be sick
1956992349,neutral,jarekpastor,  That was stone cold   Crazy....  ?,@justamedicine  That was stone cold   Crazy....  ?,2209fb4785,negative,That was stone cold   Crazy.
1956993007,boredom,villa_ld,i`m so tired,i'm so tired,ebe4b0856b,negative,i`m so tired
1956993080,neutral,cheiyinkeithsui,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,ef2802b2df,neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
1956993206,neutral,dashdragan, I`m sure some1 will **** out and play. I`m workin through til midnight.,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,e15ca06b7d,neutral,I`m sure some1 will **** out and play. I`m workin through til midnight.
1956994067,neutral,lockerhaxor, I second that. I wish it rained more where I am,@thecreativeone I second that. I wish it rained more where I am,fce80792a8,positive,I wish it rained more where I am
1956995196,sadness,jnvelasquez912, early happy day of birth in case I don`t make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,eed4cec21c,neutral,early happy day of birth in case I don`t make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
1956995505,neutral,twakatovsrocks,**** it were is Eric or anyone else when you need your hair to be played with,damn it were is Eric or anyone else when you need your hair to be played with,1d8605d15d,neutral,**** it were is Eric or anyone else when you need your hair to be played with
1956995679,neutral,jmil1733,I`m feel deflated. Ugh. No more dog.,I'm feel deflated. Ugh. No more dog.,291b817092,negative,
1956995762,sadness,foxtail84,Allergies suck ducks nuts.     <=====8=====>,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,2cd25bd667,negative,Allergies suck
1956995852,neutral,ErikaAlexxis,Well it almost was a good day... Guess I just retry tomorrow,Well it almost was a good day... Guess I just retry tomorrow,4a7043e753,positive,good day..
1956996081,hate,snursalim, Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,p1000000024,,
1956996385,love,votech, sounds good. Appreciate the suggestion. Been a week now and we`re still offline  Time to ask for a refund...,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,874f86b2e9,positive,good.
1956996470,worry,ohmygoshnina," He died.  Wait, what about Magic Jack? I just read it.","@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",10133a7283,neutral,"He died.  Wait, what about Magic Jack? I just read it."
1956996673,hate,Merekdavis,  youstinkatrespondingtotexts!,@britblackbird  youstinkatrespondingtotexts!,8698d535f2,negative,youstinkatrespondingtotexts!
1956996730,sadness,Rowch,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,3629287285,neutral,
1956996765,happiness,rarmendariz,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.","Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",p1000000025,,
1956996776,sadness,KitaCupcake,Is miserable  i feel like im gona cry  sux!,Is miserable  i feel like im gona cry  sux!,1b62e0c672,negative,
1956997143,neutral,louiethecat, well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,ebc56300cb,negative,Bleh
1956997352,worry,1azylizzie,$#@! My nose stud fell out and I can`t find it  Looks like I`ll have to head into Amsterdam today and get a new one,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,27d6472b81,negative,
1956997619,neutral,kudosbeauty,"claire  love the show, got into the office @ 5am and no radio","claire @breakfastnt love the show, got into the office @ 5am and no radio",4c8db3926d,positive,"claire  love the show, got into the office"
1956998370,love,rockinchick11,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,7ee4716130,neutral,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
1956998532,sadness,katienaas,*sigh* I`m going to bed... I just don`t feel right anymore...,*sigh* I'm going to bed... I just don't feel right anymore...,9992b5a34d,negative,I just don`t feel right anymore..
1956998538,neutral,jeannicole,What? I focused on Tom so much I didn`t see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,3cef251698,neutral,What? I focused on Tom so much I didn`t see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
1956998698,neutral,FoOie, EpiCentre Wheelock Place - tourists only..,@jwillock EpiCentre Wheelock Place - tourists only..,0db9bf3e1f,neutral,
1956998704,sadness,sillynic,Now I am depressed after watching so you think you can dance,Now I am depressed after watching so you think you can dance,98f836e4b6,negative,
1957000040,sadness,minauderie,"Just cross `cause I`m stuck twiddling my thumbs now, ugh","Just cross 'cause I'm stuck twiddling my thumbs now, ugh",c67abab6e5,negative,stuck
1957000077,neutral,danzjoe,miss 16`th,miss 16'th,4d373cdebe,neutral,miss 16`th
1957000152,neutral,RoxieDax," I know. But like I said, I have no idea how long it takes for them to investigate this stuff.","@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",1f9e2bdd81,neutral,"I know. But like I said, I have no idea how long it takes for them to investigate this stuff."
1957000290,worry,Ohtybaby,"I cant sleep, but im too sore to move","I cant sleep, but im too sore to move",5c780ddc8a,negative,sore
1957000314,neutral,Phenikone, http://twitpic.com/4phze - Awe! I miss my baby,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,f6b70a2471,negative,miss
1957000336,empty,Gen22, just answered you- never learned how to write in French- just basic stuff-,@softtouchme just answered you- never learned how to write in French- just basic stuff-,0746994570,negative,never learned how to write in French- just basic stuff-
1957000372,neutral,cv70,what is it with chocolates? i just can never say no,what is it with chocolates? i just can never say no,9845bab224,neutral,what is it with chocolates? i just can never say no
1957000788,worry,zpavic,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,ebceac553d,neutral,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
1957001049,neutral,amy__xx,_radio i`m too awake now  ill have a nap this afternoon,@ether_radio i'm too awake now  ill have a nap this afternoon,72aa630b62,neutral,i`m too awake now  ill have a nap this afternoon
